Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [CHIVI],Price [CHIVI],In stock [CHIVI],Low stock [CHIVI]
saucisses,10006,Saucisses,STOCKS,,N,,,,,,,72,,,,Y,Y,72,60.000,10.000
silivi,10007,Silivi,STOCKS,,N,,,,,,,402,,,,N,Y,402,,
spaghetti,10003,Spaghetti,STOCKS,,N,,,,,,,375,,,,N,Y,375,,
spaghetti-🍝,10012,Spaghetti 🍝,NOS PRODUITS,<p>Spaghetti 100 Viande 150 Oignon 20 Oeuf 100 Saucisse 100 Poivron 25 Huile 25 Carotte 20 Piment 15 Tomate 25 &nbsp;Piment Cube Ail 50 &nbsp;mayo 50 Plat de 80 Cuill&egrave;re 15 Bol Piment 15 Sachet 10 &nbsp;TOTAL 800</p>,N,,,,,,,800,,,,N,Y,1000,,
spaghetti-🍝-aileron,10024,Spaghetti 🍝 Aileron,NOS PRODUITS,<p>Spaghetti 100 Oignon 20 Oeuf 100 Saucisse 100 Poivron 25 Huile 25 Carotte 20 Piment 15 Tomate 25 &nbsp;Piment Cube Ail 50 &nbsp;mayo 50 Plat de 80 Cuill&egrave;re 15 Bol Piment 15 Sachet 10 &nbsp;TOTAL 800 &nbsp;Aileron 900 TOTAL 1550&nbsp;</p>,N,,,,,,,1550,,,,N,Y,2000,,
tchayo-poisson,10065,Tchayo Poisson,NOS PRODUITS,<p>L&eacute;gumes tchayo 100 amanviv&egrave; 50 Friture 350 Poisson 600 P&acirc;te 200 Fromage 200 Plats 90 Bol piment Cuillere 30 Sachet 10 TOTAL 1630 + Poisson hihi 100 = 1730</p>,N,,,,,,,1730,,,,N,Y,2500,,
tchep-poisson-légumes,10060,Tchep Poisson Légumes,NOS PRODUITS,<p>Riz 175 Sauce 300 Rooft interieur poisson 100 L&eacute;gumes (chou 100 Carrotes 75 Patate douce 50) 225 Poisson 667 Plat et autres 157 TOTAL: 1624</p>,N,,,,,,,1625,,,,N,Y,3000,,
tchep-viande-légumes,10061,Tchep Viande Légumes,NOS PRODUITS,<p>Riz 175 Sauce 300 Rooft interieur poisson 100 L&eacute;gumes (chou 100 Carrotes 75 Patate douce 50) 225 viande 1200 Plat et autres 157 TOTAL: 2157</p>,N,,,,,,,2157,,,,N,Y,3500,,
tchep-viande-poisson,10058,Tchep viande poisson,NOS PRODUITS,<p>Riz 175 Sauce 300 Rooft interieur poisson 100 L&eacute;gumes (chou 100 Carrotes 75 Patate douce 50) 225<br>Poisson 667 viande 1200 Plat et autres 157 TOTAL: 2824</p>,N,,,,,,,2824,,,,N,Y,4500,,
variable,10050,Variable,NOS PRODUITS,,N,,,,,,,0,,,,N,Y,variable,,
